epoch,accuracy,loss,val_accuracy,val_loss
0,0.9719070196151733,0.07741151750087738,0.8974400162696838,0.8156113028526306
1,0.9531915187835693,0.25626400113105774,0.8974400162696838,0.798478901386261
2,0.9461780786514282,0.27082115411758423,0.8974400162696838,0.7401497960090637
3,0.9314026832580566,0.3347409963607788,0.8974400162696838,0.5383149981498718
4,0.9239558577537537,0.32483920454978943,0.8974400162696838,0.473968505859375
5,0.9195823669433594,0.3074357807636261,0.8974400162696838,0.417551726102829
6,0.9076043963432312,0.3312327265739441,0.8974400162696838,0.6533520817756653
7,0.9310874938964844,0.3418962359428406,0.8974400162696838,0.4516843557357788
8,0.9233648777008057,0.26648223400115967,0.8974400162696838,0.6001112461090088
9,0.8887313008308411,0.4143740236759186,0.8974400162696838,0.5908533334732056
10,0.8921197652816772,0.43543729186058044,0.8974400162696838,0.4076872766017914
11,0.9192671179771423,0.3680602014064789,0.8974400162696838,0.3415965139865875
12,0.9279353618621826,0.29252389073371887,0.8974400162696838,0.35535335540771484
13,0.889243483543396,0.28678643703460693,0.8974400162696838,0.40066036581993103
14,0.921118974685669,0.3462401330471039,0.8974400162696838,0.37008005380630493
15,0.8925926089286804,0.39932188391685486,0.8974400162696838,0.3075045049190521
16,0.9282900094985962,0.32944732904434204,0.8974400162696838,0.44418829679489136
17,0.9122931361198425,0.45029762387275696,0.8974400162696838,0.36939045786857605
18,0.908274233341217,0.42222148180007935,0.8974400162696838,0.356294184923172
19,0.8768715262413025,0.5507071018218994,0.8974400162696838,0.2939976155757904
20,0.8994877934455872,0.4182923436164856,0.8974400162696838,0.2938314974308014
21,0.8974783420562744,0.40787145495414734,0.8974400162696838,0.2940807342529297
22,0.9092198610305786,0.38350701332092285,0.8974802494049072,0.29246023297309875
23,0.9160362482070923,0.3553212583065033,0.8974802494049072,0.28933823108673096
24,0.9225374460220337,0.34949952363967896,0.8974802494049072,0.2857295870780945
25,0.9250984787940979,0.3267654776573181,0.8976815342903137,0.27837273478507996
26,0.9362490177154541,0.3100493848323822,0.8974400162696838,0.3002217710018158
27,0.9389677047729492,0.3170580267906189,0.8982048034667969,0.2773072421550751
28,0.9461386799812317,0.31104469299316406,0.8974400162696838,0.3077629506587982
29,0.9413317441940308,0.310228556394577,0.8974400162696838,0.29777097702026367
