epoch,accuracy,loss,val_accuracy,val_loss
0,0.9791173934936523,0.051361363381147385,0.9975849390029907,0.0063009560108184814
1,0.9981087446212769,0.005497615318745375,0.996618926525116,0.010879822075366974
2,0.9977541565895081,0.007037022616714239,0.9997987151145935,0.0007400136673822999
3,1.0,0.00010120867955265567,0.9997584819793701,0.0008186890045180917
4,1.0,6.474924884969369e-05,0.9997987151145935,0.0010494026355445385
5,1.0,2.90433472400764e-05,0.9995169639587402,0.0021394663490355015
6,1.0,1.1307603926979937e-05,0.9997584819793701,0.0012843604199588299
7,1.0,5.186046564631397e-06,0.9997584819793701,0.001195796299725771
8,1.0,2.7258245154371252e-06,0.9997584819793701,0.001187603222206235
9,1.0,2.4184753783629276e-05,0.9996780157089233,0.0014113085344433784
10,1.0,1.0278268746333197e-05,0.9996780157089233,0.001604402088560164
