epoch,accuracy,loss,val_accuracy,val_loss
0,0.971750020980835,0.06663016974925995,0.5,3.0520055294036865
1,0.9987499713897705,0.004903802648186684,0.8289999961853027,0.4797843098640442
2,0.9972500205039978,0.0063550458289682865,1.0,0.000388083717552945
3,0.9977499842643738,0.004862232133746147,0.9959999918937683,0.012242663651704788
4,1.0,0.0006689117290079594,0.6582499742507935,2.531845808029175
5,0.9992499947547913,0.002210060367360711,0.7609999775886536,1.1302224397659302
6,0.9994999766349792,0.0011483028065413237,0.9977499842643738,0.008058110252022743
7,0.999750018119812,0.0007827121298760176,0.9927499890327454,0.02288016676902771
8,1.0,0.0002665439387783408,1.0,2.211455284850672e-05
9,1.0,0.0002850052260328084,0.9987499713897705,0.004226101562380791
10,1.0,0.00014757316967006773,0.999750018119812,0.0008355125319212675
11,1.0,8.714612340554595e-05,0.999750018119812,0.0003492339455988258
