epoch,accuracy,loss,val_accuracy,val_loss
0,0.9345547556877136,0.19349776208400726,0.8974400162696838,1.1363118886947632
1,0.9900315403938293,0.07794776558876038,0.9830139875411987,0.14453007280826569
2,0.9867218136787415,0.11537256836891174,0.9832152724266052,0.04087560251355171
3,0.9856579899787903,0.10081887990236282,0.9924327731132507,0.09562516957521439
4,0.8256106972694397,0.32528766989707947,0.20274512469768524,0.9255901575088501
5,0.26170212030410767,0.6687769293785095,0.17573659121990204,0.7183085083961487
6,0.3620567321777344,0.658430278301239,0.8567863702774048,0.23058563470840454
7,0.4078408181667328,0.6985622644424438,0.10457253456115723,0.6995291113853455
8,0.5081954002380371,0.6926918625831604,0.1050555482506752,0.7034350037574768
9,0.49590229988098145,0.6925768256187439,0.11246176064014435,0.6988214254379272
10,0.25153663754463196,0.6730625629425049,0.46578651666641235,0.49008291959762573
