epoch,accuracy,loss,val_accuracy,val_loss
0,0.9621749520301819,0.10307102650403976,0.8974400162696838,0.850285530090332
1,0.957368016242981,0.22973769903182983,0.8974400162696838,0.8484119176864624
2,0.939322292804718,0.285167932510376,0.8974400162696838,0.7595383524894714
3,0.9429472088813782,0.27815744280815125,0.8974400162696838,0.7175109386444092
4,0.9374704360961914,0.29422521591186523,0.8973997831344604,0.7633963823318481
5,0.9332545399665833,0.3141988217830658,0.8974400162696838,0.6863391399383545
6,0.9423955678939819,0.26829034090042114,0.8974400162696838,0.6027931571006775
7,0.9412529468536377,0.2708008289337158,0.8974400162696838,1.1974915266036987
8,0.9348305463790894,0.44667157530784607,0.8974400162696838,0.6102375984191895
9,0.9174941182136536,0.26142871379852295,0.8974400162696838,0.641869068145752
10,0.9491331577301025,0.3828796148300171,0.8974400162696838,0.634480893611908
11,0.9564617872238159,0.3229365646839142,0.8974400162696838,0.35245102643966675
12,0.9532309174537659,0.2738042175769806,0.8973997831344604,0.41399115324020386
13,0.9506304264068604,0.2979000508785248,0.8976010084152222,0.4762651324272156
14,0.9477541446685791,0.3511359691619873,0.8975607752799988,0.3597652018070221
15,0.9272655844688416,0.5135471224784851,0.8975607752799988,0.30658677220344543
16,0.9398345351219177,0.3605029582977295,0.8975205421447754,0.46399539709091187
17,0.9438534379005432,0.34878116846084595,0.8974400162696838,0.3037262558937073
18,0.9447202682495117,0.3119391202926636,0.8974400162696838,0.3920496702194214
19,0.9444838166236877,0.3218149244785309,0.8975607752799988,0.3467229902744293
20,0.947360098361969,0.31178316473960876,0.8975205421447754,0.36550378799438477
21,0.9066193699836731,0.45431169867515564,0.897842526435852,0.2431643158197403
22,0.9230496287345886,0.3070172667503357,0.8980035185813904,0.26393923163414
23,0.9371946454048157,0.27940550446510315,0.8977620601654053,0.30808910727500916
24,0.9276989698410034,0.2975107431411743,0.8977217674255371,0.29489150643348694
25,0.8700945377349854,0.4679136574268341,0.9049267172813416,0.20479068160057068
26,0.8937746286392212,0.3033691346645355,0.9048462510108948,0.20568999648094177
27,0.9021670818328857,0.28238627314567566,0.9040412306785583,0.207236185669899
28,0.9080772399902344,0.26360154151916504,0.9040009379386902,0.20994912087917328
29,0.8694247603416443,0.3822002708911896,0.9172435998916626,0.18868090212345123
